PRESIDENTA/E_Y_VICEPRESIDENTA/E__AMERICA_LATINA_EL_CARIBE_Y_AFRICA__H,15047,5877,7911,169,392,130,716,1709,60,2330,276,50,39
PRESIDENTA/E_Y_VICEPRESIDENTA/E__AMERICA_LATINA_EL_CARIBE_Y_AFRICA__M,16052,6315,7689,180,433,150,908,1991,75,2178,324,46,32
PRESIDENTA/E_Y_VICEPRESIDENTA/E__MORONA_SANTIAGO__H,63665,46367,17363,1210,3088,401,1940,23582,506,11877,3103,412,186
PRESIDENTA/E_Y_VICEPRESIDENTA/E__MORONA_SANTIAGO__M,59765,47775,11990,1851,4097,366,2903,21477,537,12435,3493,411,181
PRESIDENTA/E_Y_VICEPRESIDENTA/E__GALAPAGOS__H,10666,8153,2513,88,295,155,944,3530,162,2630,282,30,34
PRESIDENTA/E_Y_VICEPRESIDENTA/E__GALAPAGOS__M,9540,7496,2044,60,383,189,1092,3135,168,2183,238,16,28
PRESIDENTA/E_Y_VICEPRESIDENTA/E__LOS_RIOS__H,326693,281970,45162,15427,25708,18533,44952,53932,6295,105114,6872,3259,1744
PRESIDENTA/E_Y_VICEPRESIDENTA/E__LOS_RIOS__M,309987,278009,31996,11019,27042,22141,55400,41744,5914,107051,4495,2179,918
PRESIDENTA/E_Y_VICEPRESIDENTA/E__CARCHI__H,72423,60408,12059,1340,3373,1142,9060,15605,1659,21430,5989,356,417
PRESIDENTA/E_Y_VICEPRESIDENTA/E__CARCHI__M,71509,61946,9584,1322,3406,1027,13170,13162,1739,22368,5158,267,312
PRESIDENTA/E_Y_VICEPRESIDENTA/E__SANTA_ELENA__H,121238,110030,11208,3247,6411,6712,8818,29965,4014,47346,2277,475,717
PRESIDENTA/E_Y_VICEPRESIDENTA/E__SANTA_ELENA__M,118190,110755,7435,3414,7826,7772,10726,25901,3860,48422,1862,439,483
PRESIDENTA/E_Y_VICEPRESIDENTA/E__IMBABURA__H,176729,145654,31184,4014,10563,2329,14417,36305,5193,55842,14977,939,1006
PRESIDENTA/E_Y_VICEPRESIDENTA/E__IMBABURA__M,183312,156918,26394,4379,12216,2480,21816,33358,5844,61088,13985,784,886
PRESIDENTA/E_Y_VICEPRESIDENTA/E__AZUAY__H,313115,227994,85264,4701,13510,3922,12590,71902,7737,89284,21101,1565,1511
PRESIDENTA/E_Y_VICEPRESIDENTA/E__AZUAY__M,333340,264133,69208,6973,18031,4475,19240,72867,9130,107797,22461,1527,1503
PRESIDENTA/E_Y_VICEPRESIDENTA/E__TUNGURAHUA__H,219838,180463,39464,2967,10339,4296,18672,66137,5852,48445,19905,1648,2112
PRESIDENTA/E_Y_VICEPRESIDENTA/E__TUNGURAHUA__M,229645,195074,34582,4356,13766,4933,29163,63833,6782,50274,18368,1566,1969
PRESIDENTA/E_Y_VICEPRESIDENTA/E__BOLIVAR__H,81834,67708,14144,2618,6426,1098,6769,27476,1274,14582,5579,1122,744
PRESIDENTA/E_Y_VICEPRESIDENTA/E__BOLIVAR__M,83547,71216,12334,3469,8275,1144,10379,24773,1465,15032,4994,960,697
PRESIDENTA/E_Y_VICEPRESIDENTA/E__MANABI__H,607420,517173,90498,27995,45642,30742,42006,89528,21361,232743,21056,2946,2952
PRESIDENTA/E_Y_VICEPRESIDENTA/E__MANABI__M,585582,511710,73872,21458,46411,36834,49118,71264,19112,246207,17052,2206,1926
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ORELLANA__H,59159,49746,9413,1381,3954,1100,2955,18001,623,15459,5395,633,222
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ORELLANA__M,49783,44233,5550,1439,4444,1035,3899,13268,573,14334,4554,513,160
PRESIDENTA/E_Y_VICEPRESIDENTA/E__CHIMBORAZO__H,197835,155580,42433,4263,11663,2476,13804,61603,3786,39128,12822,1643,4330
PRESIDENTA/E_Y_VICEPRESIDENTA/E__CHIMBORAZO__M,211752,174734,37040,8152,18158,3038,23020,59653,4201,40475,12061,1784,4115
PRESIDENTA/E_Y_VICEPRESIDENTA/E__GUAYAS__H,1525887,1250846,280455,35731,78945,80480,263287,256049,32342,463326,26487,7904,5898
PRESIDENTA/E_Y_VICEPRESIDENTA/E__GUAYAS__M,1547384,1299110,248626,27902,91714,107316,341320,233487,30930,434033,21485,6173,4277
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ZAMORA_CHINCHIPE__H,41823,32744,9079,732,1349,322,2892,14945,355,9035,2746,200,148
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ZAMORA_CHINCHIPE__M,37625,31462,6163,669,1512,282,4187,12871,334,8750,2581,163,97
