provincia_nombre,canton_nombre,parroquia_nombre,sexo,electores,numero_de_actas,votos_en_blanco,votos_nulos,candidato_votos,candidato_nombre,op_siglas,candidato_estado,parroquia_estado
AZUAY,CUENCA,BANOS,hombres,6050,,25,321,494,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,,25,321,2424,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,,54,373,660,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,,54,373,3099,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,CUMBE,hombres,2115,,11,81,873,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,CUMBE,hombres,2115,,11,81,157,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2279,,9,154,1202,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2279,,9,154,242,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,477,,1,30,29,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,477,,1,30,229,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,mujeres,477,,9,67,28,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,mujeres,477,,9,67,203,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,1675,,0,32,55,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,1675,,0,32,336,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,1627,,12,95,624,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
