provincia_nombre,canton_nombre,parroquia_nombre,sexo,electores,numero_de_actas,votos_en_blanco,votos_nulos,candidato_votos,candidato_nombre,op_siglas,candidato_estado,parroquia_estado
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,1108,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,133,DELGADO_JARA_DIEGO_CRISTOBAL,MITS,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,245,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,2989,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,97,ROLDOS_BUCARAM_MARTHA_RINA_VICTORIA,RED/MIPD,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,59,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,MTM,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,50,GONZALEZ_ALBORNOZ_CARLOS_BENJAMIN,MIJS,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,8721,35,274,265,28,JACOME_MARIN_MELBA_YOLANDA,MTF,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,1110,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,21,JACOME_MARIN_MELBA_YOLANDA,MTF,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,267,ROLDOS_BUCARAM_MARTHA_RINA_VICTORIA,RED/MIPD,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,78,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,MTM,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,60,GONZALEZ_ALBORNOZ_CARLOS_BENJAMIN,MIJS,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,103,DELGADO_JARA_DIEGO_CRISTOBAL,MITS,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,3615,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,8827,36,541,372,208,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,4,JACOME_MARIN_MELBA_YOLANDA,MTF,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,25,DELGADO_JARA_DIEGO_CRISTOBAL,MITS,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,43,ROLDOS_BUCARAM_MARTHA_RINA_VICTORIA,RED/MIPD,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,5,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,MTM,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,55,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,16,GONZALEZ_ALBORNOZ_CARLOS_BENJAMIN,MIJS,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,600,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CUMBE,hombres,2632,11,106,77,437,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2888,12,251,145,19,GONZALEZ_ALBORNOZ_CARLOS_BENJAMIN,MIJS,,RURAL
