provincia_nombre,canton_nombre,parroquia_nombre,sexo,electores,numero_de_actas,votos_en_blanco,votos_nulos,candidato_votos,candidato_nombre,op_siglas,candidato_estado,parroquia_estado
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,34,ROSERO_GONZALEZ_JOSE_FERNANDO,PRE,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,515,GUTIERREZ_BORBUA_FAUSTO_GILMAR,PSP,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,25,PROAÑO_MAYA_MARCO_ANTONIO,MRD,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,1341,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,181,VITERI_JIMENEZ_CYNTHIA_FERNANDA,PSC,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,11,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,INA,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,523,ROLDOS_AGUILERA_LEON_EUSEBIO,ID/RED,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,12,DAMERVAL_MARTINEZ_JAIME_FRANCISCO,CFP,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,103,MACAS_AMBULUDI_LUIS_ALBERTO,MUPP-NP,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,586,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,10,TORRES_PASTOR_LENIN_GALO_ARTURO,MRPP,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,19,LARREA_CABRERA_MARCELO,ATR,,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,191,496,23,VILLACIS_MALDONADO_LUIS_ALFREDO,MPD,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,14,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,INA,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,19,TORRES_PASTOR_LENIN_GALO_ARTURO,MRPP,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,49,PROAÑO_MAYA_MARCO_ANTONIO,MRD,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,38,ROSERO_GONZALEZ_JOSE_FERNANDO,PRE,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,327,VITERI_JIMENEZ_CYNTHIA_FERNANDA,PSC,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,45,VILLACIS_MALDONADO_LUIS_ALFREDO,MPD,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,665,ROLDOS_AGUILERA_LEON_EUSEBIO,ID/RED,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,7,DAMERVAL_MARTINEZ_JAIME_FRANCISCO,CFP,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,120,MACAS_AMBULUDI_LUIS_ALBERTO,MUPP-NP,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,847,GUTIERREZ_BORBUA_FAUSTO_GILMAR,PSP,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,1292,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,543,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,357,789,24,LARREA_CABRERA_MARCELO,ATR,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,60,VITERI_JIMENEZ_CYNTHIA_FERNANDA,PSC,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,161,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,5,LARREA_CABRERA_MARCELO,ATR,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,9,ROSERO_GONZALEZ_JOSE_FERNANDO,PRE,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,15,VILLACIS_MALDONADO_LUIS_ALFREDO,MPD,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,274,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,134,GUTIERREZ_BORBUA_FAUSTO_GILMAR,PSP,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,1,DAMERVAL_MARTINEZ_JAIME_FRANCISCO,CFP,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,181,ROLDOS_AGUILERA_LEON_EUSEBIO,ID/RED,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,2,TORRES_PASTOR_LENIN_GALO_ARTURO,MRPP,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,50,MACAS_AMBULUDI_LUIS_ALBERTO,MUPP-NP,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,6,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,INA,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,71,215,5,PROAÑO_MAYA_MARCO_ANTONIO,MRD,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,275,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,297,GUTIERREZ_BORBUA_FAUSTO_GILMAR,PSP,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,279,ROLDOS_AGUILERA_LEON_EUSEBIO,ID/RED,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,6,LARREA_CABRERA_MARCELO,ATR,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,6,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,INA,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,135,VITERI_JIMENEZ_CYNTHIA_FERNANDA,PSC,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,9,TORRES_PASTOR_LENIN_GALO_ARTURO,MRPP,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,10,ROSERO_GONZALEZ_JOSE_FERNANDO,PRE,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,6,PROAÑO_MAYA_MARCO_ANTONIO,MRD,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,64,MACAS_AMBULUDI_LUIS_ALBERTO,MUPP-NP,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,197,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,21,VILLACIS_MALDONADO_LUIS_ALFREDO,MPD,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,113,386,5,DAMERVAL_MARTINEZ_JAIME_FRANCISCO,CFP,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,36,ROLDOS_AGUILERA_LEON_EUSEBIO,ID/RED,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,9,VITERI_JIMENEZ_CYNTHIA_FERNANDA,PSC,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,11,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,9,MACAS_AMBULUDI_LUIS_ALBERTO,MUPP-NP,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,87,GUTIERREZ_BORBUA_FAUSTO_GILMAR,PSP,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,2,DAMERVAL_MARTINEZ_JAIME_FRANCISCO,CFP,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,1,SAGNAY_DE_LA_BASTIDA_CARLOS_FRANCISCO,INA,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,0,LARREA_CABRERA_MARCELO,ATR,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,2,VILLACIS_MALDONADO_LUIS_ALFREDO,MPD,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,3,ROSERO_GONZALEZ_JOSE_FERNANDO,PRE,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,33,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,5,TORRES_PASTOR_LENIN_GALO_ARTURO,MRPP,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,52,49,2,PROAÑO_MAYA_MARCO_ANTONIO,MRD,,RURAL
