provincia_nombre,canton_nombre,parroquia_nombre,sexo,electores,numero_de_actas,votos_en_blanco,votos_nulos,candidato_votos,candidato_nombre,op_siglas,candidato_estado,parroquia_estado
AZUAY,CUENCA,QUINGEO,hombres,2030,7,18,151,296,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,QUINGEO,hombres,2030,7,18,151,886,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,QUINGEO,mujeres,2290,8,72,251,305,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,QUINGEO,mujeres,2290,8,72,251,1094,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,RICAURTE,hombres,5137,17,33,284,2239,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,RICAURTE,hombres,5137,17,33,284,859,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,RICAURTE,mujeres,5338,18,52,437,2797,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,RICAURTE,mujeres,5338,18,52,437,842,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,SAN_JOAQUIN,hombres,2428,9,17,137,1015,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,SAN_JOAQUIN,hombres,2428,9,17,137,388,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,SAN_JOAQUIN,mujeres,2681,10,39,165,1453,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,SAN_JOAQUIN,mujeres,2681,10,39,165,338,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,SANTA_ANA,hombres,1903,7,21,149,861,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,SANTA_ANA,hombres,1903,7,21,149,293,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,SANTA_ANA,mujeres,2056,7,52,271,257,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,SANTA_ANA,mujeres,2056,7,52,271,1074,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,SAYAUSI,hombres,3359,12,24,248,515,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,SAYAUSI,hombres,3359,12,24,248,1454,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
